price,bed,bath,acre_lot,state,zip_code,house_size
758000.0,4.0,3.0,0.27,New Jersey,70060,2330.0
215000.0,1.0,1.0,21.949764539675066,New Jersey,70060,2330.0
645000.0,2.0,4.0,21.949764539675066,New Jersey,70060,2039.0
589000.0,5.0,3.0,21.949764539675066,New Jersey,70060,2330.0
645000.0,2.0,4.0,21.949764539675066,New Jersey,70060,2330.0
689000.0,5.0,3.0,0.34,New Jersey,70060,2330.0
1587000.0,5.0,5.0,0.62,New Jersey,70060,2330.0
1899999.0,5.0,5.0,0.66,New Jersey,70060,2330.0
715000.0,4.0,3.0,0.32,New Jersey,70060,2330.0
399900.0,3.0,3.0,0.1,New Jersey,70060,2330.0
325000.0,1.0,2.0,0.03,New Jersey,70100,1136.0
385000.0,2.0,2.0,21.949764539675066,New Jersey,70100,2330.0
295000.0,1.0,1.0,21.949764539675066,New Jersey,70100,2330.0
269000.0,1.0,1.0,21.949764539675066,New Jersey,70100,2330.0
330000.0,1.0,2.0,21.949764539675066,New Jersey,70100,2330.0
1249000.0,5.0,5.0,0.17,New Jersey,70100,2330.0
245000.0,1.0,1.0,21.949764539675066,New Jersey,70100,2330.0
489900.0,2.0,2.0,21.949764539675066,New Jersey,70100,2330.0
1499000.0,5.0,3.0,0.11,New Jersey,70100,2330.0
499000.0,2.0,2.0,21.949764539675066,New Jersey,70100,2330.0
459000.0,2.0,2.0,21.949764539675066,New Jersey,70100,2330.0
599000.0,4.0,2.0,0.04,New Jersey,70100,2330.0
628888.0,3.0,3.0,21.949764539675066,New Jersey,70100,2330.0
479000.0,2.0,2.0,21.949764539675066,New Jersey,70100,2330.0
599000.0,4.0,3.0,0.08,New Jersey,70100,2330.0
549000.0,2.0,2.0,21.949764539675066,New Jersey,70100,2330.0
1288000.0,4.0,5.0,21.949764539675066,New Jersey,70100,2330.0
255000.0,1.0,1.0,21.949764539675066,New Jersey,70100,2330.0
448000.0,2.0,2.0,21.949764539675066,New Jersey,70100,2330.0
1598000.0,4.0,5.0,21.949764539675066,New Jersey,70100,2330.0
1499999.0,4.0,5.0,21.949764539675066,New Jersey,70100,2330.0
800000.0,4.0,4.0,0.06,New Jersey,70100,2330.0
849000.0,7.0,3.0,0.11,New Jersey,70100,2330.0
729000.0,3.0,4.0,21.949764539675066,New Jersey,70100,2330.0
1298000.0,4.0,5.0,21.949764539675066,New Jersey,70100,2330.0
520000.0,2.0,3.0,21.949764539675066,New Jersey,70100,2330.0
915000.0,2.0,2.0,21.949764539675066,New Jersey,70100,1186.0
509000.0,2.0,2.0,21.949764539675066,New Jersey,70100,2330.0
649000.0,5.0,2.0,0.07,New Jersey,70100,2330.0
999900.0,7.0,4.0,0.09,New Jersey,70100,2330.0
569999.0,4.0,2.0,0.06,New Jersey,70100,2330.0
749900.0,3.0,4.0,21.949764539675066,New Jersey,70100,2330.0
1350000.0,3.0,2.0,21.949764539675066,New Jersey,70100,1632.0
1425000.0,3.0,3.0,21.949764539675066,New Jersey,70100,1815.0
1425000.0,3.0,2.0,21.949764539675066,New Jersey,70100,1534.0
1499000.0,4.0,5.0,21.949764539675066,New Jersey,70100,2330.0
875000.0,3.0,4.0,21.949764539675066,New Jersey,70100,2330.0
1349000.0,3.0,5.0,21.949764539675066,New Jersey,70100,2330.0
169900.0,1.0,1.0,21.949764539675066,New Jersey,70110,825.0
369850.0,2.0,2.0,0.05,New Jersey,70110,2330.0
429900.0,6.0,2.0,0.08,New Jersey,70110,2330.0
399000.0,3.0,2.0,0.07,New Jersey,70110,2330.0
289900.0,2.0,1.0,21.949764539675066,New Jersey,70110,2330.0
399999.0,4.0,3.0,0.04,New Jersey,70110,2330.0
599900.0,5.0,3.0,0.11,New Jersey,70110,2330.0
399916.0,3.0,2.0,0.11,New Jersey,70110,2330.0
474999.0,4.0,2.0,0.09,New Jersey,70110,1836.0
259900.0,1.0,1.0,21.949764539675066,New Jersey,70110,2330.0
419000.0,5.0,3.0,0.07,New Jersey,70110,2330.0
134900.0,3.0,1.0,21.949764539675066,New Jersey,70110,2330.0
515000.0,4.0,3.0,0.11,New Jersey,70110,2330.0
489999.0,4.0,3.0,0.11,New Jersey,70110,2330.0
299000.0,3.0,1.0,0.08,New Jersey,70110,2330.0
549900.0,5.0,3.0,0.09,New Jersey,70110,2330.0
599900.0,5.0,3.0,0.14,New Jersey,70110,1954.0
499000.0,4.0,2.0,0.1,New Jersey,70110,2330.0
575000.0,4.0,3.0,0.11,New Jersey,70110,2330.0
500000.0,4.0,2.0,0.1,New Jersey,70110,1500.0
479995.0,3.0,2.0,0.12,New Jersey,70110,2330.0
619900.0,4.0,3.0,0.08,New Jersey,70110,1800.0
419000.0,5.0,3.0,0.08,New Jersey,70110,2330.0
399000.0,3.0,1.0,21.949764539675066,New Jersey,70110,2330.0
660000.0,7.0,4.0,0.15,New Jersey,70110,2324.0
379999.0,5.0,2.0,0.1,New Jersey,70110,1452.0
